#,contract_amendment,contract_code,etp_year,harvest_year,land_location,latitude,longitude,planted,planting_obligation,planting_year,region,species,strain,trees_contract,loaded_at,planting_date
1,,CR0001,2015,0,,,,1000,,2016,Costa Rica,P. fortunei,,1000,2025-05-12 18:10:54.583611 +00:00,2016-07-01
2,,CR0002,2015,0,,,,100,,2016,Costa Rica,P. fortunei,,100,2025-05-12 18:10:54.583611 +00:00,2016-07-01
3,,CR0003,2015,,,,,1750,,2016,Costa Rica,P. fortunei,,1750,2025-05-12 18:10:54.583611 +00:00,2016-07-01
4,,CR0004,2015,0,,,,1000,,2016,Costa Rica,P. fortunei,,1000,2025-05-12 18:10:54.583611 +00:00,2016-07-01
5,,CR0005,2015,0,,,,500,,2016,Costa Rica,P. fortunei,,500,2025-05-12 18:10:54.583611 +00:00,2016-07-01
6,,CR0006,2015,0,,,,500,,2016,Costa Rica,P. fortunei,,500,2025-05-12 18:10:54.583611 +00:00,2016-07-01
7,,CR0007,2015,0,,,,400,,2016,Costa Rica,P. fortunei,,400,2025-05-12 18:10:54.583611 +00:00,2016-07-01
8,,CR0008,2016,0,,,,1200,,2017,Costa Rica,P. fortunei,,1200,2025-05-12 18:10:54.583611 +00:00,2017-07-01
9,,CR0009,2016,0,,,,500,,2017,Costa Rica,P. fortunei,,500,2025-05-12 18:10:54.583611 +00:00,2017-07-01
10,,CR0010,2016,0,,,,500,,2017,Costa Rica,P. fortunei,,500,2025-05-12 18:10:54.583611 +00:00,2017-07-01
11,,CR0011,2016,0,,,,13000,,2017,Costa Rica,P. fortunei,,13000,2025-05-12 18:10:54.583611 +00:00,2017-07-01
12,,CR0012,2016,0,,,,2000,,2017,Costa Rica,P. fortunei,,2000,2025-05-12 18:10:54.583611 +00:00,2017-07-01
13,,CR0015,2016,0,,,,1000,,2017,Costa Rica,P. fortunei,,1000,2025-05-12 18:10:54.583611 +00:00,2017-07-01
14,,CR0016,2016,0,,,,600,,2017,Costa Rica,P. fortunei,,600,2025-05-12 18:10:54.583611 +00:00,2017-07-01
15,,CR0017,2016,0,,,,1000,,2017,Costa Rica,P. fortunei,,1000,2025-05-12 18:10:54.583611 +00:00,2017-07-01
16,,CR0018,2016,0,,,,250,,2017,Costa Rica,P. fortunei,,250,2025-05-12 18:10:54.583611 +00:00,2017-07-01
17,,CR0019,2016,0,,,,500,,2017,Costa Rica,P. fortunei,,500,2025-05-12 18:10:54.583611 +00:00,2017-07-01
18,,CR0020,2016,0,,,,300,,2017,Costa Rica,P. fortunei,,300,2025-05-12 18:10:54.583611 +00:00,2017-07-01
19,,CR0021,2016,0,,,,1000,,2017,Costa Rica,P. fortunei,,1000,2025-05-12 18:10:54.583611 +00:00,2017-07-01
20,,CR0022,2016,0,,,,250,,2017,Costa Rica,P. fortunei,,250,2025-05-12 18:10:54.583611 +00:00,2017-07-01
21,,CR0023,2016,0,,,,750,,2018,Costa Rica,P. fortunei,,750,2025-05-12 18:10:54.583611 +00:00,2018-07-01
22,,CR0024,2016,0,,,,2500,,2018,Costa Rica,P. fortunei,,2500,2025-05-12 18:10:54.583611 +00:00,2018-07-01
23,,CR0025,2016,0,,,,350,,2018,Costa Rica,P. fortunei,,350,2025-05-12 18:10:54.583611 +00:00,2018-07-01
24,,CR0026,2016,0,,,,500,,2018,Costa Rica,P. fortunei,,500,2025-05-12 18:10:54.583611 +00:00,2018-07-01
25,,CR0027,2016,0,,,,500,,2018,Costa Rica,P. fortunei,,500,2025-05-12 18:10:54.583611 +00:00,2018-07-01
26,,CR0014,2016,0,,,,1000,,2017,Costa Rica,P. fortunei,,1000,2025-05-12 18:10:54.583611 +00:00,2017-07-01
27,,CR0031,2016,0,,,,1000,,2018,Costa Rica,P.fortunei,,1000,2025-05-12 18:10:54.583611 +00:00,2018-07-01
28,,CR0032,2016,0,,,,1000,,2018,Costa Rica,P.elongata and P.fortunei,,1000,2025-05-12 18:10:54.583611 +00:00,2018-07-01
29,,CR0033,2016,0,,,,1100,,2018,Costa Rica,P.fortunei,,1100,2025-05-12 18:10:54.583611 +00:00,2018-07-01
30,,CR0034,2016,0,,,,1100,,2018,Costa Rica,P.fortunei,,1100,2025-05-12 18:10:54.583611 +00:00,2018-07-01
31,,CR0038,2020,0,,,,1200,,2020,Costa Rica,P.elongata,,1200,2025-05-12 18:10:54.583611 +00:00,2020-07-01
32,,GT0002,2018,0,,,,1000,,2019,Guatemala,Elongata,,1000,2025-05-12 18:10:54.583611 +00:00,
33,,GT0003,2018,0,,,,1000,,2019,Guatemala,Elongata,,1000,2025-05-12 18:10:54.583611 +00:00,
34,,GT0004,2018,0,,,,1000,,2019,Guatemala,Elongata,,1000,2025-05-12 18:10:54.583611 +00:00,
35,,GT0005,2018,0,,,,1056,,2019,Guatemala,Elongata,,1056,2025-05-12 18:10:54.583611 +00:00,
36,,GT0008,2018,0,,,,1000,,2019,Guatemala,Elongata,,1000,2025-05-12 18:10:54.583611 +00:00,
37,,GT0010,2018,0,,,,0,1000.0,2019,Guatemala,Elongata,,1000,2025-05-12 18:10:54.583611 +00:00,
38,,CR0080,2018,0,,,,500,,2019,Costa Rica,P.fortunei,,500,2025-05-12 18:10:54.583611 +00:00,2019-07-01
39,,CR0083,2018,2028,,,,4000,,2019,Costa Rica,P.fortunei,,4000,2025-05-12 18:10:54.583611 +00:00,2019-07-01
40,,CR0085,2018,0,,,,285,,2019,Costa Rica,P.fortunei,,285,2025-05-12 18:10:54.583611 +00:00,2019-07-01
41,,MX0001,2018,0,,,,5000,,2019,Mexico,,,5000,2025-05-12 18:10:54.583611 +00:00,2019-11-01
42,,MX0002,2018,0,,,,2000,,2019,Mexico,,,2000,2025-05-12 18:10:54.583611 +00:00,2019-11-01
43,,CR0054,2020,0,,,,800,,2020,Costa Rica,P.elongata,,800,2025-05-12 18:10:54.583611 +00:00,2020-07-01
44,,CR0079,2015,0,,,,275,,2016,Costa Rica,P.fortunei,,275,2025-05-12 18:10:54.583611 +00:00,2016-07-01
45,,GT0022,2020,0,,,,488,,2020,Guatemala,Elongata,,488,2025-05-12 18:10:54.583611 +00:00,
46,,MX0045,2022,0,,,,200,350.0,2023,Mexico,,,550,2025-05-12 18:10:54.583611 +00:00,2023-11-01
47,,MX0084,2022,2033,,,,550,,2024,Mexico,,,550,2025-05-12 18:10:54.583611 +00:00,2024-11-01
48,,GT0019,2020,0,,,,1000,,2020,Guatemala,Elongata,,1000,2025-05-12 18:10:54.583611 +00:00,
49,,GT0020,2020,0,,,,1200,,2020,Guatemala,Elongata,,1200,2025-05-12 18:10:54.583611 +00:00,
50,,GT0026,2020,0,,,,990,,2020,Guatemala,Elongata,,990,2025-05-12 18:10:54.583611 +00:00,
51,,MX0004,2018,0,,,,5500,,2020,Mexico,,,5500,2025-05-12 18:10:54.583611 +00:00,2020-11-01
52,,MX0006,2020,0,,,,7700,,2020,Mexico,,,7700,2025-05-12 18:10:54.583611 +00:00,2020-11-01
53,,MX0007,,0,,,,14300,,2020,Mexico,,,14300,2025-05-12 18:10:54.583611 +00:00,2020-11-01
54,,MX0008,,0,,,,5500,,2020,Mexico,,,5500,2025-05-12 18:10:54.583611 +00:00,2020-11-01
55,,MX0010,,0,,,,,,2020,Mexico,,,,2025-05-12 18:10:54.583611 +00:00,2020-11-01
56,,MX0011,2020,0,,,,4400,,2020,Mexico,,,4400,2025-05-12 18:10:54.583611 +00:00,2020-11-01
57,,MX0015,,0,,,,2750,,2020,Mexico,,,2750,2025-05-12 18:10:54.583611 +00:00,2020-11-01
58,,MX0016,2018,0,,,,2200,,2020,Mexico,,,2200,2025-05-12 18:10:54.583611 +00:00,2020-11-01
59,,MX0017,,0,,,,11550,,2020,Mexico,,,11550,2025-05-12 18:10:54.583611 +00:00,2020-11-01
60,,MX0020,2020,0,,,,11000,,2020,Mexico,,,11000,2025-05-12 18:10:54.583611 +00:00,2020-11-01
61,,MX0082,2022,2033,,,,1100,,2024,Mexico,,,1100,2025-05-12 18:10:54.583611 +00:00,2024-11-01
62,,CR0090,2018,0,,,,1800,,2019,Costa Rica,P.fortunei,,1800,2025-05-12 18:10:54.583611 +00:00,2019-07-01
63,,CR0091,2018,0,,,,1000,,2019,Costa Rica,P.fortunei,,1000,2025-05-12 18:10:54.583611 +00:00,2019-07-01
64,,CR0093,2015,0,,,,250,,2016,Costa Rica,,,250,2025-05-12 18:10:54.583611 +00:00,2016-07-01
65,,CR0094,2015,0,,,,900,,2016,Costa Rica,,,900,2025-05-12 18:10:54.583611 +00:00,2016-07-01
66,,CR0095,2015,0,,,,1000,,2016,Costa Rica,,,1000,2025-05-12 18:10:54.583611 +00:00,2016-07-01
67,,CR0096,2015,0,,,,250,,2016,Costa Rica,,,250,2025-05-12 18:10:54.583611 +00:00,2016-07-01
68,,CR0107,2022,2033,,,,1200,,2024,Costa Rica,,Elongata CR,1200,2025-05-12 18:10:54.583611 +00:00,2024-07-01
69,,US0015,2016,0,,,,2200,,2017,USA,Fortunei,,2200,2025-05-12 18:10:54.583611 +00:00,2017-05-01
70,,US0016,2016,0,,,,2200,,2017,USA,Fortunei,,2200,2025-05-12 18:10:54.583611 +00:00,2017-05-01
71,,US0017,2016,0,,,,550,,2017,USA,Fortunei,,550,2025-05-12 18:10:54.583611 +00:00,2017-05-01
72,,US0019,2016,0,,,,2200,,2017,USA,Fortunei,,2200,2025-05-12 18:10:54.583611 +00:00,2017-05-01
73,,US0020,2016,0,,,,200,,2017,USA,Fortunei,,200,2025-05-12 18:10:54.583611 +00:00,2017-05-01
74,,US0021,2016,0,,,,2200,,2018,USA,Fortunei,,2200,2025-05-12 18:10:54.583611 +00:00,2018-05-01
75,,US0026,2018,0,,,,550,,2018,USA,Fortunei,,550,2025-05-12 18:10:54.583611 +00:00,2018-05-01
76,,US0033,2018,0,,,,4400,,2019,USA,Fortunei,,4400,2025-05-12 18:10:54.583611 +00:00,2019-05-01
77,,US0036,2018,0,,,,1300,,2019,USA,Fortunei,"11, 12, 14",1300,2025-05-12 18:10:54.583611 +00:00,2019-05-01
78,,US0044,2018,0,,,,1100,,2019,USA,Fortunei,,1100,2025-05-12 18:10:54.583611 +00:00,2019-05-01
79,,US0048,2018,0,,,,1100,,2019,USA,Fortunei,,1100,2025-05-12 18:10:54.583611 +00:00,2019-05-01
80,,US0050,2018,2028,,,,1100,,2019,USA,Fortunei,"12, 13, 14",1100,2025-05-12 18:10:54.583611 +00:00,2019-05-01
81,,US0053,2020,0,,,,3300,,2020,USA,Fortunei,"11, 14, 18",3300,2025-05-12 18:10:54.583611 +00:00,2020-05-01
82,,US0066,2020,0,,,,5500,,2020,USA,Fortunei,"11, 12, 13, 14, 18",5500,2025-05-12 18:10:54.583611 +00:00,2020-05-01
83,,US0093,2020,0,,,,280,,2021,USA,Fortunei,"11, 12, 14",280,2025-05-12 18:10:54.583611 +00:00,2021-05-01
84,,US0105,2021,0,,,,330,,2021,USA,Fortunei,"11, 14",330,2025-05-12 18:10:54.583611 +00:00,2021-05-01
85,,US0089,2021,0,,,,1100,,2021,USA,Fortunei,"2, 13",1100,2025-05-12 18:10:54.583611 +00:00,2021-05-01
86,,US0110,2021,2030,,,,1100,,2021,USA,Fortunei,"2, 11",1100,2025-05-12 18:10:54.583611 +00:00,2021-05-01
87,,US0111,2021,2030,,,,1100,,2021,USA,Fortunei,"2, 11",1100,2025-05-12 18:10:54.583611 +00:00,2021-05-01
88,,US0122,2020,0,,,,1100,,2021,USA,Fortunei,"11, 13",1100,2025-05-12 18:10:54.583611 +00:00,2021-05-01
89,,US0125,2020,2030,,,,1650,,2021,USA,Fortunei,"2, 13",1650,2025-05-12 18:10:54.583611 +00:00,2021-05-01
